npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:3000
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 3 ms
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 2 ms
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 1 ms
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/media/manggis.3660a255.webp
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 2 ms
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 2 ms
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/media/apel.a7d007bf.webp
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 1 ms
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/media/mangga.62924ff8.webp
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/media/manggajusbar.c5d15920.webp
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/media/pisang.0e06c7e7.webp
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 2 ms
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 0 ms
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 1 ms
 HTTP  12/17/2025 11:14:03 AM ::1 GET /_next/static/chunks/490.5a40e0baee8190f4.js
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 1 ms
 HTTP  12/17/2025 11:14:03 AM ::1 GET /blog.txt?_rsc=3lb4g
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 0 ms
 HTTP  12/17/2025 11:14:03 AM ::1 GET /about.txt?_rsc=3lb4g
 HTTP  12/17/2025 11:14:03 AM ::1 GET /contact.txt?_rsc=3lb4g
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 1 ms
 HTTP  12/17/2025 11:14:03 AM ::1 Returned 200 in 1 ms
